Nome Cidade,UF,Latitude,Longitude,DDD,Fuso
Nilo Peçanha,BA,-13.604,-39.1091,73,America/Sao_Paulo
Nilópolis,RJ,-22.8057,-43.4233,21,America/Sao_Paulo
Nina Rodrigues,MA,-3.46788,-43.9134,98,America/Sao_Paulo
Ninheira,MG,-15.3148,-41.7564,38,America/Sao_Paulo
Nioaque,MS,-21.1419,-55.8296,67,America/Porto_Velho
Nipoã,SP,-20.9114,-49.7833,17,America/Sao_Paulo
Niquelândia,GO,-14.4662,-48.4599,62,America/Sao_Paulo
Nísia Floresta,RN,-6.09329,-35.1991,84,America/Sao_Paulo
Niterói,RJ,-22.8832,-43.1034,21,America/Sao_Paulo
Nobres,MT,-14.7192,-56.3284,65,America/Porto_Velho
Nonoai,RS,-27.3689,-52.7756,54,America/Sao_Paulo
Nordestina,BA,-10.8192,-39.4297,75,America/Sao_Paulo
Normandia,RR,3.8853,-59.6204,95,America/Porto_Velho
Nortelândia,MT,-14.454,-56.7945,65,America/Porto_Velho
Nossa Senhora Aparecida,SE,-10.3944,-37.4517,79,America/Sao_Paulo
Nossa Senhora da Glória,SE,-10.2158,-37.4211,79,America/Sao_Paulo
Nossa Senhora das Dores,SE,-10.4854,-37.1963,79,America/Sao_Paulo
Nossa Senhora das Graças,PR,-22.9129,-51.7978,44,America/Sao_Paulo
Nossa Senhora de Lourdes,SE,-10.0772,-37.0615,79,America/Sao_Paulo
Nossa Senhora de Nazaré,PI,-4.63019,-42.173,86,America/Sao_Paulo
Nossa Senhora do Livramento,MT,-15.772,-56.3432,65,America/Porto_Velho
Nossa Senhora do Socorro,SE,-10.8468,-37.1231,79,America/Sao_Paulo
Nossa Senhora dos Remédios,PI,-3.97574,-42.6184,86,America/Sao_Paulo
Nova Aliança,SP,-21.0156,-49.4986,17,America/Sao_Paulo
Nova Aliança do Ivaí,PR,-23.1763,-52.6032,44,America/Sao_Paulo
Nova Alvorada,RS,-28.6822,-52.1631,54,America/Sao_Paulo
Nova Alvorada do Sul,MS,-21.4657,-54.3825,67,America/Porto_Velho
Nova América,GO,-15.0206,-49.8953,62,America/Sao_Paulo
Nova América da Colina,PR,-23.3308,-50.7168,43,America/Sao_Paulo
Nova Andradina,MS,-22.238,-53.3437,67,America/Porto_Velho
Nova Araçá,RS,-28.6537,-51.7458,54,America/Sao_Paulo
Nova Aurora,PR,-24.5289,-53.2575,45,America/Sao_Paulo
Nova Aurora,GO,-18.0597,-48.2552,64,America/Sao_Paulo
Nova Bandeirantes,MT,-9.84977,-57.8139,66,America/Porto_Velho
Nova Bassano,RS,-28.7291,-51.7072,54,America/Sao_Paulo
Nova Belém,MG,-18.4925,-41.1107,33,America/Sao_Paulo
Nova Boa Vista,RS,-27.9926,-52.9784,54,America/Sao_Paulo
Nova Brasilândia,MT,-14.9612,-54.9685,66,America/Porto_Velho
Nova Brasilândia D'Oeste,RO,-11.7247,-62.3127,69,America/Porto_Velho
Nova Bréscia,RS,-29.2182,-52.0319,51,America/Sao_Paulo
Nova Campina,SP,-24.1224,-48.9022,15,America/Sao_Paulo
Nova Canaã,BA,-14.7912,-40.1458,73,America/Sao_Paulo
Nova Canaã do Norte,MT,-10.558,-55.953,66,America/Porto_Velho
