Nome Cidade,UF,Latitude,Longitude,DDD,Fuso
Abadia de Goiás,GO,-16.7573,-49.4412,62,America/Sao_Paulo
Abadia dos Dourados,MG,-18.4831,-47.3916,34,America/Sao_Paulo
Abadiânia,GO,-16.197,-48.7057,62,America/Sao_Paulo
Abaeté,MG,-19.1551,-45.4444,37,America/Sao_Paulo
Abaetetuba,PA,-1.72183,-48.8788,91,America/Sao_Paulo
Abaiara,CE,-7.34588,-39.0416,88,America/Sao_Paulo
Abaíra,BA,-13.2488,-41.6619,77,America/Sao_Paulo
Abaré,BA,-8.72073,-39.1162,75,America/Sao_Paulo
Abatiá,PR,-23.3049,-50.3133,43,America/Sao_Paulo
Abdon Batista,SC,-27.6126,-51.0233,49,America/Sao_Paulo
Abel Figueiredo,PA,-4.95333,-48.3933,94,America/Sao_Paulo
Abelardo Luz,SC,-26.5716,-52.3229,49,America/Sao_Paulo
Abre Campo,MG,-20.2996,-42.4743,31,America/Sao_Paulo
Abreu e Lima,PE,-7.90072,-34.8984,81,America/Sao_Paulo
Abreulândia,TO,-9.62101,-49.1518,63,America/Sao_Paulo
Acaiaca,MG,-20.359,-43.1439,31,America/Sao_Paulo
Açailândia,MA,-4.94714,-47.5004,99,America/Sao_Paulo
Acajutiba,BA,-11.6575,-38.0197,75,America/Sao_Paulo
Acará,PA,-1.95383,-48.1985,91,America/Sao_Paulo
Acarape,CE,-4.22083,-38.7055,85,America/Sao_Paulo
Acaraú,CE,-2.88769,-40.1183,88,America/Sao_Paulo
Acari,RN,-6.4282,-36.6347,84,America/Sao_Paulo
Acauã,PI,-8.21954,-41.0831,89,America/Sao_Paulo
Aceguá,RS,-31.8665,-54.1615,53,America/Sao_Paulo
Acopiara,CE,-6.08911,-39.448,88,America/Sao_Paulo
Acorizal,MT,-15.194,-56.3632,65,America/Porto_Velho
Acrelândia,AC,-9.82581,-66.8972,68,America/Rio_Branco
Acreúna,GO,-17.396,-50.3749,64,America/Sao_Paulo
Açu,RN,-5.58362,-36.914,84,America/Sao_Paulo
Açucena,MG,-19.0671,-42.5419,33,America/Sao_Paulo
Adamantina,SP,-21.682,-51.0737,18,America/Sao_Paulo
Adelândia,GO,-16.4127,-50.1657,64,America/Sao_Paulo
Adolfo,SP,-21.2325,-49.6451,17,America/Sao_Paulo
Adrianópolis,PR,-24.6606,-48.9922,41,America/Sao_Paulo
Adustina,BA,-10.5437,-38.1113,75,America/Sao_Paulo
Afogados da Ingazeira,PE,-7.74312,-37.631,87,America/Sao_Paulo
Afonso Bezerra,RN,-5.49229,-36.5075,84,America/Sao_Paulo
Afonso Cláudio,ES,-20.0778,-41.1261,27,America/Sao_Paulo
Afonso Cunha,MA,-4.13631,-43.3275,98,America/Sao_Paulo
Afrânio,PE,-8.51136,-41.0095,87,America/Sao_Paulo
Afuá,PA,-0.154874,-50.3861,91,America/Sao_Paulo
Agrestina,PE,-8.45966,-35.9447,81,America/Sao_Paulo
Agricolândia,PI,-5.79676,-42.6664,86,America/Sao_Paulo
Agrolândia,SC,-27.4087,-49.822,47,America/Sao_Paulo
Agronômica,SC,-27.2662,-49.708,47,America/Sao_Paulo
Água Azul do Norte,PA,-6.79053,-50.4791,94,America/Sao_Paulo
Água Boa,MG,-17.9914,-42.3806,33,America/Sao_Paulo
Água Boa,MT,-14.051,-52.1601,66,America/Porto_Velho
Água Branca,PI,-5.88856,-42.637,86,America/Sao_Paulo
Água Branca,PB,-7.51144,-37.6357,83,America/Sao_Paulo
Água Branca,AL,-9.262,-37.938,82,America/Sao_Paulo
Água Clara,MS,-20.4452,-52.879,67,America/Porto_Velho
Água Comprida,MG,-20.0576,-48.1069,34,America/Sao_Paulo
Água Doce,SC,-26.9985,-51.5528,49,America/Sao_Paulo
Água Doce do Maranhão,MA,-2.84048,-42.1189,98,America/Sao_Paulo
Água Doce do Norte,ES,-18.5482,-40.9854,27,America/Sao_Paulo
Água Fria,BA,-11.8618,-38.7639,75,America/Sao_Paulo
Água Fria de Goiás,GO,-14.9778,-47.7823,62,America/Sao_Paulo
Água Limpa,GO,-18.0771,-48.7603,64,America/Sao_Paulo
Água Nova,RN,-6.20351,-38.2941,84,America/Sao_Paulo
Água Preta,PE,-8.70609,-35.5263,81,America/Sao_Paulo
Água Santa,RS,-28.1672,-52.031,54,America/Sao_Paulo
Aguaí,SP,-22.0572,-46.9735,19,America/Sao_Paulo
Aguanil,MG,-20.9439,-45.3915,35,America/Sao_Paulo
Águas Belas,PE,-9.11125,-37.1226,87,America/Sao_Paulo
Águas da Prata,SP,-21.9319,-46.7176,19,America/Sao_Paulo
Águas de Chapecó,SC,-27.0754,-52.9808,49,America/Sao_Paulo
Águas de Lindóia,SP,-22.4733,-46.6314,19,America/Sao_Paulo
Águas de Santa Bárbara,SP,-22.8812,-49.2421,14,America/Sao_Paulo
Águas de São Pedro,SP,-22.5977,-47.8734,19,America/Sao_Paulo
Águas Formosas,MG,-17.0802,-40.9384,33,America/Sao_Paulo
Águas Frias,SC,-26.8794,-52.8568,49,America/Sao_Paulo
Águas Lindas de Goiás,GO,-15.7617,-48.2816,61,America/Sao_Paulo
Águas Mornas,SC,-27.6963,-48.8243,48,America/Sao_Paulo
Águas Vermelhas,MG,-15.7431,-41.4571,33,America/Sao_Paulo
Agudo,RS,-29.6447,-53.2515,55,America/Sao_Paulo
Agudos,SP,-22.4694,-48.9863,14,America/Sao_Paulo
Agudos do Sul,PR,-25.9899,-49.3343,41,America/Sao_Paulo
Águia Branca,ES,-18.9846,-40.7437,27,America/Sao_Paulo
Aguiar,PB,-7.0918,-38.1681,83,America/Sao_Paulo
Aguiarnópolis,TO,-6.55409,-47.4702,63,America/Sao_Paulo
Aimorés,MG,-19.5007,-41.0746,33,America/Sao_Paulo
Aiquara,BA,-14.1269,-39.8937,73,America/Sao_Paulo
Aiuaba,CE,-6.57122,-40.1178,88,America/Sao_Paulo
Aiuruoca,MG,-21.9736,-44.6042,35,America/Sao_Paulo
Ajuricaba,RS,-28.2342,-53.7757,55,America/Sao_Paulo
Alagoa,MG,-22.171,-44.6413,35,America/Sao_Paulo
Alagoa Grande,PB,-7.03943,-35.6206,83,America/Sao_Paulo
Alagoa Nova,PB,-7.05377,-35.7591,83,America/Sao_Paulo
Alagoinha,PB,-6.94657,-35.5332,83,America/Sao_Paulo
Alagoinha,PE,-8.4665,-36.7788,87,America/Sao_Paulo
Alagoinha do Piauí,PI,-7.00039,-40.9282,89,America/Sao_Paulo
Alagoinhas,BA,-12.1335,-38.4208,75,America/Sao_Paulo
Alambari,SP,-23.5503,-47.898,15,America/Sao_Paulo
Albertina,MG,-22.2018,-46.6139,35,America/Sao_Paulo
Alcântara,MA,-2.39574,-44.4062,98,America/Sao_Paulo
Alcântaras,CE,-3.58537,-40.5479,88,America/Sao_Paulo
Alcantil,PB,-7.73668,-36.0511,83,America/Sao_Paulo
Alcinópolis,MS,-18.3255,-53.7042,67,America/Porto_Velho
Alcobaça,BA,-17.5195,-39.2036,73,America/Sao_Paulo
Aldeias Altas,MA,-4.62621,-43.4689,99,America/Sao_Paulo
Alecrim,RS,-27.6579,-54.7649,55,America/Sao_Paulo
Alegre,ES,-20.758,-41.5382,28,America/Sao_Paulo
Alegrete,RS,-29.7902,-55.7949,55,America/Sao_Paulo
Alegrete do Piauí,PI,-7.24196,-40.8566,89,America/Sao_Paulo
Alegria,RS,-27.8345,-54.0557,55,America/Sao_Paulo
Além Paraíba,MG,-21.8797,-42.7176,32,America/Sao_Paulo
Alenquer,PA,-1.94623,-54.7384,93,America/Sao_Paulo
Alexandria,RN,-6.40533,-38.0142,84,America/Sao_Paulo
Alexânia,GO,-16.0834,-48.5076,62,America/Sao_Paulo
Alfenas,MG,-21.4256,-45.9477,35,America/Sao_Paulo
Alfredo Chaves,ES,-20.6396,-40.7543,27,America/Sao_Paulo
Alfredo Marcondes,SP,-21.9527,-51.414,18,America/Sao_Paulo
Alfredo Vasconcelos,MG,-21.1535,-43.7718,32,America/Sao_Paulo
Alfredo Wagner,SC,-27.7001,-49.3273,48,America/Sao_Paulo
Algodão de Jandaíra,PB,-6.89292,-36.0129,83,America/Sao_Paulo
Alhandra,PB,-7.42977,-34.9057,83,America/Sao_Paulo
Aliança,PE,-7.60398,-35.2227,81,America/Sao_Paulo
Aliança do Tocantins,TO,-11.3056,-48.9361,63,America/Sao_Paulo
Almadina,BA,-14.7089,-39.6415,73,America/Sao_Paulo
Almas,TO,-11.5706,-47.1792,63,America/Sao_Paulo
Almeirim,PA,-1.52904,-52.5788,93,America/Sao_Paulo
Almenara,MG,-16.1785,-40.6942,33,America/Sao_Paulo
Almino Afonso,RN,-6.1475,-37.7636,84,America/Sao_Paulo
Almirante Tamandaré,PR,-25.3188,-49.3037,41,America/Sao_Paulo
Almirante Tamandaré do Sul,RS,-28.1149,-52.9142,54,America/Sao_Paulo
Aloândia,GO,-17.7292,-49.4769,64,America/Sao_Paulo
Alpercata,MG,-18.974,-41.97,33,America/Sao_Paulo
Alpestre,RS,-27.2502,-53.0341,55,America/Sao_Paulo
Alpinópolis,MG,-20.8631,-46.3878,35,America/Sao_Paulo
Alta Floresta,MT,-9.86674,-56.0867,66,America/Porto_Velho
Alta Floresta D'Oeste,RO,-11.9283,-61.9953,69,America/Porto_Velho
Altair,SP,-20.5242,-49.0571,17,America/Sao_Paulo
Altamira,PA,-3.20407,-52.21,93,America/Sao_Paulo
Altamira do Maranhão,MA,-4.16598,-45.4706,98,America/Sao_Paulo
Altamira do Paraná,PR,-24.7983,-52.7128,44,America/Sao_Paulo
Altaneira,CE,-6.99837,-39.7356,88,America/Sao_Paulo
Alterosa,MG,-21.2488,-46.1387,35,America/Sao_Paulo
Altinho,PE,-8.48482,-36.0644,81,America/Sao_Paulo
Altinópolis,SP,-21.0214,-47.3712,16,America/Sao_Paulo
Alto Alegre,SP,-21.5811,-50.168,18,America/Sao_Paulo
Alto Alegre,RR,2.98858,-61.3072,95,America/Porto_Velho
Alto Alegre,RS,-28.7769,-52.9893,54,America/Sao_Paulo
Alto Alegre do Maranhão,MA,-4.213,-44.446,99,America/Sao_Paulo
Alto Alegre do Pindaré,MA,-3.66689,-45.8421,98,America/Sao_Paulo
Alto Alegre dos Parecis,RO,-12.132,-61.835,69,America/Porto_Velho
Alto Araguaia,MT,-17.3153,-53.2181,66,America/Porto_Velho
Alto Bela Vista,SC,-27.4333,-51.9044,49,America/Sao_Paulo
Alto Boa Vista,MT,-11.6732,-51.3883,66,America/Porto_Velho
Alto Caparaó,MG,-20.431,-41.8738,32,America/Sao_Paulo
Alto do Rodrigues,RN,-5.28186,-36.75,84,America/Sao_Paulo
Alto Feliz,RS,-29.3919,-51.3123,51,America/Sao_Paulo
Alto Garças,MT,-16.9462,-53.5272,66,America/Porto_Velho
Alto Horizonte,GO,-14.1978,-49.3378,62,America/Sao_Paulo
Alto Jequitibá,MG,-20.4208,-41.967,33,America/Sao_Paulo
Alto Longá,PI,-5.25634,-42.2096,86,America/Sao_Paulo
Alto Paraguai,MT,-14.5137,-56.4776,65,America/Porto_Velho
Alto Paraíso,PR,-26.1146,-52.7469,44,America/Sao_Paulo
Alto Paraíso,RO,-9.71429,-63.3188,69,America/Porto_Velho
Alto Paraíso de Goiás,GO,-14.1305,-47.51,62,America/Sao_Paulo
Alto Paraná,PR,-23.1312,-52.3189,44,America/Sao_Paulo
Alto Parnaíba,MA,-9.10273,-45.9303,99,America/Sao_Paulo
Alto Piquiri,PR,-24.0224,-53.44,44,America/Sao_Paulo
Alto Rio Doce,MG,-21.0281,-43.4067,32,America/Sao_Paulo
Alto Rio Novo,ES,-19.0618,-41.0209,27,America/Sao_Paulo
Alto Santo,CE,-5.50894,-38.2743,88,America/Sao_Paulo
Alto Taquari,MT,-17.8241,-53.2792,66,America/Porto_Velho
Altônia,PR,-23.8759,-53.8958,44,America/Sao_Paulo
Altos,PI,-5.03888,-42.4612,86,America/Sao_Paulo
Alumínio,SP,-23.5306,-47.2546,11,America/Sao_Paulo
Alvarães,AM,-3.22727,-64.8007,97,America/Porto_Velho
Alvarenga,MG,-19.4174,-41.7317,33,America/Sao_Paulo
Álvares Florence,SP,-20.3203,-49.9141,17,America/Sao_Paulo
Álvares Machado,SP,-22.0764,-51.4722,18,America/Sao_Paulo
Álvaro de Carvalho,SP,-22.0841,-49.719,14,America/Sao_Paulo
Alvinlândia,SP,-22.4435,-49.7623,14,America/Sao_Paulo
Alvinópolis,MG,-20.1098,-43.0535,31,America/Sao_Paulo
Alvorada,TO,-12.4785,-49.1249,63,America/Sao_Paulo
Alvorada,RS,-29.9914,-51.0809,51,America/Sao_Paulo
Alvorada D'Oeste,RO,-11.3463,-62.2847,69,America/Porto_Velho
Alvorada de Minas,MG,-18.7334,-43.3638,31,America/Sao_Paulo
Alvorada do Gurguéia,PI,-8.42418,-43.777,89,America/Sao_Paulo
Alvorada do Norte,GO,-14.4797,-46.491,62,America/Sao_Paulo
Alvorada do Sul,PR,-22.7813,-51.2297,43,America/Sao_Paulo
Amajari,RR,3.64571,-61.3692,95,America/Porto_Velho
Amambai,MS,-23.1058,-55.2253,67,America/Porto_Velho
Amapá,AP,2.05267,-50.7957,96,America/Sao_Paulo
Amapá do Maranhão,MA,-1.67524,-46.0024,98,America/Sao_Paulo
Amaporã,PR,-23.0943,-52.7866,44,America/Sao_Paulo
Amaraji,PE,-8.37691,-35.4501,81,America/Sao_Paulo
Amaral Ferrador,RS,-30.8756,-52.2509,51,America/Sao_Paulo
Amaralina,GO,-13.9236,-49.2962,62,America/Sao_Paulo
Amarante,PI,-6.24304,-42.8433,86,America/Sao_Paulo
Amarante do Maranhão,MA,-5.56913,-46.7473,99,America/Sao_Paulo
Amargosa,BA,-13.0215,-39.602,75,America/Sao_Paulo
Amaturá,AM,-3.37455,-68.2005,97,America/Porto_Velho
Amélia Rodrigues,BA,-12.3914,-38.7563,75,America/Sao_Paulo
América Dourada,BA,-11.4429,-41.439,74,America/Sao_Paulo
Americana,SP,-22.7374,-47.3331,19,America/Sao_Paulo
Americano do Brasil,GO,-16.2514,-49.9831,64,America/Sao_Paulo
Américo Brasiliense,SP,-21.7288,-48.1147,16,America/Sao_Paulo
Américo de Campos,SP,-20.2985,-49.7359,17,America/Sao_Paulo
Ametista do Sul,RS,-27.3607,-53.183,55,America/Sao_Paulo
Amontada,CE,-3.36017,-39.8288,88,America/Sao_Paulo
Amorinópolis,GO,-16.6151,-51.0919,64,America/Sao_Paulo
Amparo,PB,-7.55502,-37.0628,83,America/Sao_Paulo
Amparo,SP,-22.7088,-46.772,19,America/Sao_Paulo
Amparo de São Francisco,SE,-10.1348,-36.935,79,America/Sao_Paulo
Amparo do Serra,MG,-20.5051,-42.8009,31,America/Sao_Paulo
Ampére,PR,-25.9168,-53.4686,46,America/Sao_Paulo
Anadia,AL,-9.68489,-36.3078,82,America/Sao_Paulo
Anagé,BA,-14.6151,-41.1356,77,America/Sao_Paulo
Anahy,PR,-24.6449,-53.1332,45,America/Sao_Paulo
Anajás,PA,-0.996811,-49.9354,91,America/Sao_Paulo
Anajatuba,MA,-3.26269,-44.6126,98,America/Sao_Paulo
Analândia,SP,-22.1289,-47.6619,19,America/Sao_Paulo
Anamã,AM,-3.56697,-61.3963,97,America/Porto_Velho
Ananás,TO,-6.36437,-48.0735,63,America/Sao_Paulo
Ananindeua,PA,-1.36391,-48.3743,91,America/Sao_Paulo
Anápolis,GO,-16.3281,-48.953,62,America/Sao_Paulo
Anapu,PA,-3.46985,-51.2003,91,America/Sao_Paulo
Anapurus,MA,-3.67577,-43.1014,98,America/Sao_Paulo
Anastácio,MS,-20.4823,-55.8104,67,America/Porto_Velho
Anaurilândia,MS,-22.1852,-52.7191,67,America/Porto_Velho
Anchieta,SC,-26.5382,-53.3319,49,America/Sao_Paulo
Anchieta,ES,-20.7955,-40.6425,28,America/Sao_Paulo
Andaraí,BA,-12.8049,-41.3297,75,America/Sao_Paulo
Andirá,PR,-23.0533,-50.2304,43,America/Sao_Paulo
Andorinha,BA,-10.3482,-39.8391,74,America/Sao_Paulo
Andradas,MG,-22.0695,-46.5724,35,America/Sao_Paulo
Andradina,SP,-20.8948,-51.3786,18,America/Sao_Paulo
André da Rocha,RS,-28.6283,-51.5797,54,America/Sao_Paulo
Andrelândia,MG,-21.7411,-44.3117,35,America/Sao_Paulo
Angatuba,SP,-23.4917,-48.4139,15,America/Sao_Paulo
Angelândia,MG,-17.7279,-42.2641,33,America/Sao_Paulo
Angélica,MS,-22.1527,-53.7708,67,America/Porto_Velho
Angelim,PE,-8.88429,-36.2902,87,America/Sao_Paulo
Angelina,SC,-27.5704,-48.9879,48,America/Sao_Paulo
Angical,BA,-12.0063,-44.7003,77,America/Sao_Paulo
Angical do Piauí,PI,-6.08786,-42.74,86,America/Sao_Paulo
Angico,TO,-6.39179,-47.8611,63,America/Sao_Paulo
Angicos,RN,-5.65792,-36.6094,84,America/Sao_Paulo
Angra dos Reis,RJ,-23.0011,-44.3196,24,America/Sao_Paulo
Anguera,BA,-12.1462,-39.2462,75,America/Sao_Paulo
Ângulo,PR,-23.1946,-51.9154,44,America/Sao_Paulo
Anhanguera,GO,-18.3339,-48.2204,64,America/Sao_Paulo
Anhembi,SP,-22.793,-48.1336,14,America/Sao_Paulo
Anhumas,SP,-22.2934,-51.3895,18,America/Sao_Paulo
Anicuns,GO,-16.4642,-49.9617,64,America/Sao_Paulo
Anísio de Abreu,PI,-9.18564,-43.0494,89,America/Sao_Paulo
Anita Garibaldi,SC,-27.6897,-51.1271,49,America/Sao_Paulo
Anitápolis,SC,-27.9012,-49.1316,48,America/Sao_Paulo
Anori,AM,-3.74603,-61.6575,97,America/Porto_Velho
Anta Gorda,RS,-28.9698,-52.0102,51,America/Sao_Paulo
Antas,BA,-10.3856,-38.3401,75,America/Sao_Paulo
Antonina,PR,-25.4386,-48.7191,41,America/Sao_Paulo
Antonina do Norte,CE,-6.76919,-39.987,88,America/Sao_Paulo
Antônio Almeida,PI,-7.21276,-44.1889,89,America/Sao_Paulo
Antônio Cardoso,BA,-12.4335,-39.1176,75,America/Sao_Paulo
Antônio Carlos,SC,-27.5191,-48.766,48,America/Sao_Paulo
Antônio Carlos,MG,-21.321,-43.7451,32,America/Sao_Paulo
Antônio Dias,MG,-19.6491,-42.8732,31,America/Sao_Paulo
Antônio Gonçalves,BA,-10.5767,-40.2785,74,America/Sao_Paulo
Antônio João,MS,-22.1927,-55.9517,67,America/Porto_Velho
Antônio Martins,RN,-6.21367,-37.8834,84,America/Sao_Paulo
Antônio Olinto,PR,-25.9804,-50.1972,42,America/Sao_Paulo
Antônio Prado,RS,-28.8565,-51.2883,54,America/Sao_Paulo
Antônio Prado de Minas,MG,-21.0192,-42.1109,32,America/Sao_Paulo
Aparecida,PB,-6.78466,-38.0803,83,America/Sao_Paulo
Aparecida,SP,-22.8495,-45.2325,12,America/Sao_Paulo
Aparecida d'Oeste,SP,-20.4487,-50.8835,17,America/Sao_Paulo
Aparecida de Goiânia,GO,-16.8198,-49.2469,62,America/Sao_Paulo
Aparecida do Rio Doce,GO,-18.2941,-51.1516,64,America/Sao_Paulo
Aparecida do Rio Negro,TO,-9.94139,-47.9638,63,America/Sao_Paulo
Aparecida do Taboado,MS,-20.0873,-51.0961,67,America/Porto_Velho
Aperibé,RJ,-21.6252,-42.1017,22,America/Sao_Paulo
Apiacá,ES,-21.1523,-41.5693,28,America/Sao_Paulo
Apiacás,MT,-9.53981,-57.4587,66,America/Porto_Velho
Apiaí,SP,-24.5108,-48.8443,15,America/Sao_Paulo
Apicum-Açu,MA,-1.45862,-45.0864,98,America/Sao_Paulo
Apiúna,SC,-27.0375,-49.3885,47,America/Sao_Paulo
Apodi,RN,-5.65349,-37.7946,84,America/Sao_Paulo
Aporá,BA,-11.6577,-38.0814,75,America/Sao_Paulo
Aporé,GO,-18.9607,-51.9232,64,America/Sao_Paulo
Apuarema,BA,-13.8542,-39.7501,73,America/Sao_Paulo
Apucarana,PR,-23.55,-51.4635,43,America/Sao_Paulo
Apuí,AM,-7.19409,-59.896,97,America/Porto_Velho
Apuiarés,CE,-3.94506,-39.4359,85,America/Sao_Paulo
Aquidabã,SE,-10.278,-37.0148,79,America/Sao_Paulo
Aquidauana,MS,-20.4666,-55.7868,67,America/Porto_Velho
Aquiraz,CE,-3.89929,-38.3896,85,America/Sao_Paulo
Arabutã,SC,-27.1587,-52.1423,49,America/Sao_Paulo
Araçagi,PB,-6.84374,-35.3737,83,America/Sao_Paulo
Araçaí,MG,-19.1955,-44.2493,31,America/Sao_Paulo
Aracaju,SE,-10.9091,-37.0677,79,America/Sao_Paulo
Araçariguama,SP,-23.4366,-47.0608,11,America/Sao_Paulo
Araças,BA,-12.22,-38.2027,75,America/Sao_Paulo
Aracati,CE,-4.55826,-37.7679,88,America/Sao_Paulo
Aracatu,BA,-14.428,-41.4648,77,America/Sao_Paulo
Araçatuba,SP,-21.2076,-50.4401,18,America/Sao_Paulo
Araci,BA,-11.3253,-38.9584,75,America/Sao_Paulo
Aracitaba,MG,-21.3446,-43.3736,32,America/Sao_Paulo
Araçoiaba,PE,-7.78391,-35.0809,81,America/Sao_Paulo
Aracoiaba,CE,-4.36872,-38.8125,85,America/Sao_Paulo
Araçoiaba da Serra,SP,-23.5029,-47.6166,15,America/Sao_Paulo
Aracruz,ES,-19.82,-40.2764,27,America/Sao_Paulo
Araçu,GO,-16.3563,-49.6804,62,America/Sao_Paulo
Araçuaí,MG,-16.8523,-42.0637,33,America/Sao_Paulo
Aragarças,GO,-15.8955,-52.2372,64,America/Sao_Paulo
Aragoiânia,GO,-16.9087,-49.4476,62,America/Sao_Paulo
Aragominas,TO,-7.16005,-48.5291,63,America/Sao_Paulo
Araguacema,TO,-8.80755,-49.5569,63,America/Sao_Paulo
Araguaçu,TO,-12.9289,-49.8231,63,America/Sao_Paulo
Araguaiana,MT,-15.7291,-51.8341,66,America/Porto_Velho
Araguaína,TO,-7.19238,-48.2044,63,America/Sao_Paulo
Araguainha,MT,-16.857,-53.0318,66,America/Porto_Velho
Araguanã,TO,-6.58225,-48.6395,63,America/Sao_Paulo
Araguanã,MA,-2.94644,-45.6589,98,America/Sao_Paulo
Araguapaz,GO,-15.0909,-50.6315,62,America/Sao_Paulo
Araguari,MG,-18.6456,-48.1934,34,America/Sao_Paulo
Araguatins,TO,-5.64659,-48.1232,63,America/Sao_Paulo
Araioses,MA,-2.89091,-41.905,98,America/Sao_Paulo
Aral Moreira,MS,-22.9385,-55.6334,67,America/Porto_Velho
Aramari,BA,-12.0884,-38.4969,75,America/Sao_Paulo
Arambaré,RS,-30.9092,-51.5046,51,America/Sao_Paulo
Arame,MA,-4.88347,-46.0032,99,America/Sao_Paulo
Aramina,SP,-20.0882,-47.7873,16,America/Sao_Paulo
Arandu,SP,-23.1386,-49.0487,14,America/Sao_Paulo
Arantina,MG,-21.9102,-44.2555,32,America/Sao_Paulo
Arapeí,SP,-22.6717,-44.4441,12,America/Sao_Paulo
Arapiraca,AL,-9.75487,-36.6615,82,America/Sao_Paulo
Arapoema,TO,-7.65463,-49.0637,63,America/Sao_Paulo
Araponga,MG,-20.6686,-42.5178,31,America/Sao_Paulo
Arapongas,PR,-23.4153,-51.4259,43,America/Sao_Paulo
Araporã,MG,-18.4357,-49.1847,34,America/Sao_Paulo
Arapoti,PR,-24.1548,-49.8285,43,America/Sao_Paulo
Arapuã,PR,-24.3132,-51.7856,43,America/Sao_Paulo
Arapuá,MG,-19.0268,-46.1484,34,America/Sao_Paulo
Araputanga,MT,-15.4641,-58.3425,65,America/Porto_Velho
Araquari,SC,-26.3754,-48.7188,47,America/Sao_Paulo
Arara,PB,-6.82813,-35.7552,83,America/Sao_Paulo
Araranguá,SC,-28.9356,-49.4918,48,America/Sao_Paulo
Araraquara,SP,-21.7845,-48.178,16,America/Sao_Paulo
Araras,SP,-22.3572,-47.3842,19,America/Sao_Paulo
Ararendá,CE,-4.74567,-40.831,88,America/Sao_Paulo
Arari,MA,-3.45214,-44.7665,98,America/Sao_Paulo
Araricá,RS,-29.6168,-50.9291,51,America/Sao_Paulo
Araripe,CE,-7.21319,-40.1359,88,America/Sao_Paulo
Araripina,PE,-7.57073,-40.494,87,America/Sao_Paulo
Araruama,RJ,-22.8697,-42.3326,22,America/Sao_Paulo
Araruna,PR,-23.9315,-52.5021,44,America/Sao_Paulo
Araruna,PB,-6.54848,-35.7498,83,America/Sao_Paulo
Arataca,BA,-15.2651,-39.419,73,America/Sao_Paulo
Aratiba,RS,-27.3978,-52.2975,54,America/Sao_Paulo
Aratuba,CE,-4.41229,-39.0471,85,America/Sao_Paulo
Aratuípe,BA,-13.0716,-39.0038,75,America/Sao_Paulo
Arauá,SE,-11.2614,-37.6201,79,America/Sao_Paulo
Araucária,PR,-25.5859,-49.4047,41,America/Sao_Paulo
Araújos,MG,-19.9405,-45.1671,37,America/Sao_Paulo
Araxá,MG,-19.5902,-46.9438,34,America/Sao_Paulo
Arceburgo,MG,-21.359,-46.9401,35,America/Sao_Paulo
Arco-Íris,SP,-21.7728,-50.466,14,America/Sao_Paulo
Arcos,MG,-20.2863,-45.5373,37,America/Sao_Paulo
Arcoverde,PE,-8.41519,-37.0577,87,America/Sao_Paulo
Areado,MG,-21.3572,-46.1421,35,America/Sao_Paulo
Areal,RJ,-22.2283,-43.1118,24,America/Sao_Paulo
Arealva,SP,-22.031,-48.9135,14,America/Sao_Paulo
Areia,PB,-6.96396,-35.6977,83,America/Sao_Paulo
Areia Branca,RN,-4.95254,-37.1252,84,America/Sao_Paulo
Areia Branca,SE,-10.758,-37.3251,79,America/Sao_Paulo
Areia de Baraúnas,PB,-7.11702,-36.9404,83,America/Sao_Paulo
Areial,PB,-7.04789,-35.9313,83,America/Sao_Paulo
Areias,SP,-22.5786,-44.6992,12,America/Sao_Paulo
Areiópolis,SP,-22.6672,-48.6681,14,America/Sao_Paulo
Arenápolis,MT,-14.4472,-56.8437,65,America/Porto_Velho
Arenópolis,GO,-16.3837,-51.5563,64,America/Sao_Paulo
Arês,RN,-6.18831,-35.1608,84,America/Sao_Paulo
Argirita,MG,-21.6083,-42.8292,32,America/Sao_Paulo
Aricanduva,MG,-17.8666,-42.5533,33,America/Sao_Paulo
Arinos,MG,-15.9187,-46.1043,38,America/Sao_Paulo
Aripuanã,MT,-10.1723,-59.4568,66,America/Porto_Velho
Ariquemes,RO,-9.90571,-63.0325,69,America/Porto_Velho
Ariranha,SP,-21.1872,-48.7904,17,America/Sao_Paulo
Ariranha do Ivaí,PR,-24.3857,-51.5839,43,America/Sao_Paulo
Armação dos Búzios,RJ,-22.7528,-41.8846,22,America/Sao_Paulo
Armazém,SC,-28.2448,-49.0215,48,America/Sao_Paulo
Arneiroz,CE,-6.3165,-40.1653,88,America/Sao_Paulo
Aroazes,PI,-6.11022,-41.7822,89,America/Sao_Paulo
Aroeiras,PB,-7.54473,-35.7066,83,America/Sao_Paulo
Aroeiras do Itaim,PI,-7.24502,-41.5325,89,America/Sao_Paulo
Arraial,PI,-6.65075,-42.5418,89,America/Sao_Paulo
Arraial do Cabo,RJ,-22.9774,-42.0267,22,America/Sao_Paulo
Arraias,TO,-12.9287,-46.9359,63,America/Sao_Paulo
Arroio do Meio,RS,-29.4014,-51.9557,51,America/Sao_Paulo
Arroio do Padre,RS,-31.4389,-52.4246,53,America/Sao_Paulo
Arroio do Sal,RS,-29.5439,-49.8895,51,America/Sao_Paulo
Arroio do Tigre,RS,-29.3348,-53.0966,51,America/Sao_Paulo
Arroio dos Ratos,RS,-30.0875,-51.7275,51,America/Sao_Paulo
Arroio Grande,RS,-32.2327,-53.0862,53,America/Sao_Paulo
Arroio Trinta,SC,-26.9257,-51.3407,49,America/Sao_Paulo
